time;V(/Vo);
0.000449291;1.03192;
0.000450291;1.03193;
0.000451291;1.03194;
0.000452291;1.03194;
0.000453291;1.03195;
0.000454291;1.03196;
0.000455291;1.03197;
0.000456291;1.03197;
0.000457291;1.03198;
0.000458291;1.03198;
0.000459291;1.03199;
0.000460291;1.03199;
0.000461291;1.03199;
0.000462291;1.032;
0.000463291;1.032;
0.000464291;1.032;
0.000465291;1.03201;
0.000466291;1.03201;
0.000467291;1.03201;
0.000468291;1.03201;
0.000469291;1.03201;
0.000470291;1.03201;
0.000471291;1.03201;
0.000472291;1.03201;
0.000473291;1.03201;
0.000474291;1.03201;
0.000475291;1.03201;
0.000476291;1.032;
0.000477291;1.032;
0.000478291;1.032;
0.000479291;1.032;
0.000480291;1.032;
0.000481291;1.03199;
0.000482291;1.03199;
0.000483291;1.03199;
0.000484291;1.03198;
0.000485291;1.03198;
0.000486291;1.03198;
0.000487291;1.03197;
0.000488291;1.03197;
0.000489291;1.03196;
0.000490291;1.03196;
0.000491291;1.03196;
0.000492291;1.03195;
0.000493291;1.03195;
0.000494291;1.03194;
0.000495291;1.03194;
0.000496291;1.03193;
0.000497291;1.03193;
0.000498291;1.03192;
0.000499291;1.03192;
0.000500291;1.03191;
0.000501291;1.03191;
0.000502291;1.0319;
0.000503291;1.0319;
0.000504291;1.03189;
0.000505291;1.03189;
0.000506291;1.03188;
0.000507291;1.03188;
0.000508291;1.03187;
0.000509291;1.03187;
0.000510291;1.03186;
0.000511291;1.03186;
0.000512291;1.03185;
0.000513291;1.03185;
0.000514291;1.03184;
0.000515291;1.03184;
0.000516291;1.03183;
0.000517291;1.03183;
0.000518291;1.03182;
0.000519291;1.03182;
0.000520291;1.03181;
0.000521291;1.03181;
0.000522291;1.03181;
0.000523291;1.0318;
0.000524291;1.0318;
0.000525291;1.03179;
0.000526291;1.03179;
0.000527291;1.03179;
0.000528291;1.03178;
0.000529291;1.03178;
0.000530291;1.03177;
0.000531291;1.03177;
0.000532291;1.03177;
0.000533291;1.03176;
0.000534291;1.03176;
0.000535291;1.03176;
0.000536291;1.03175;
0.000537291;1.03175;
0.000538291;1.03175;
0.000539291;1.03175;
0.000540291;1.03174;
0.000541291;1.03174;
0.000542291;1.03174;
0.000543291;1.03174;
0.000544291;1.03173;
0.000545291;1.03173;
0.000546291;1.03173;
0.000547291;1.03173;
0.000548291;1.03173;
0.000549291;1.03172;
0.000550291;1.03172;
0.000551291;1.03172;
0.000552291;1.03172;
0.000553291;1.03172;
0.000554291;1.03172;
0.000555291;1.03171;
0.000556291;1.03171;
0.000557291;1.03171;
0.000558291;1.03171;
0.000559291;1.03171;
0.000560291;1.03171;
0.000561291;1.03171;
0.000562291;1.03171;
0.000563291;1.03171;
0.000564291;1.03171;
0.000565291;1.03171;
0.000566291;1.03171;
0.000567291;1.03171;
0.000568291;1.03171;
0.000569291;1.0317;
0.000570291;1.0317;
0.000571291;1.0317;
0.000572291;1.0317;
0.000573291;1.0317;
0.000574291;1.0317;
0.000575291;1.0317;
0.000576291;1.0317;
0.000577291;1.0317;
0.000578291;1.03171;
0.000579291;1.03171;
0.000580291;1.03171;
0.000581291;1.03171;
0.000582291;1.03171;
0.000583291;1.03171;
0.000584291;1.03171;
0.000585291;1.03171;
0.000586291;1.03171;
0.000587291;1.03171;
0.000588291;1.03171;
0.000589291;1.03171;
0.000590291;1.03171;
0.000591291;1.03171;
0.000592291;1.03171;
0.000593291;1.03171;
0.000594291;1.03171;
0.000595291;1.03171;
0.000596291;1.03171;
0.000597291;1.03172;
0.000598291;1.03172;
0.000599291;1.03172;
0.000600291;1.03172;
0.000601291;1.03172;
0.000602291;1.03172;
0.000603291;1.03172;
0.000604291;1.03172;
0.000605291;1.03172;
0.000606291;1.03172;
0.000607291;1.03172;
0.000608291;1.03172;
0.000609291;1.03172;
0.000610291;1.03173;
0.000611291;1.03173;
0.000612291;1.03173;
0.000613291;1.03173;
0.000614291;1.03173;
0.000615291;1.03173;
0.000616291;1.03173;
0.000617291;1.03173;
0.000618291;1.03173;
0.000619291;1.03173;
0.000620291;1.03173;
0.000621291;1.03173;
0.000622291;1.03173;
0.000623291;1.03174;
0.000624291;1.03174;
0.000625291;1.03174;
0.000626291;1.03174;
0.000627291;1.03174;
0.000628291;1.03174;
0.000629291;1.03174;
0.000630291;1.03174;
0.000631291;1.03174;
0.000632291;1.03174;
0.000633291;1.03174;
0.000634291;1.03174;
0.000635291;1.03174;
0.000636291;1.03174;
0.000637291;1.03174;
0.000638291;1.03174;
0.000639291;1.03174;
0.000640291;1.03175;
0.000641291;1.03175;
0.000642291;1.03175;
0.000643291;1.03175;
0.000644291;1.03175;
0.000645291;1.03175;
0.000646291;1.03175;
0.000647291;1.03175;
0.000648291;1.03175;
0.000649291;1.03175;
0.000650291;1.03175;
0.000651291;1.03175;
0.000652291;1.03175;
0.000653291;1.03175;
0.000654291;1.03175;
0.000655291;1.03175;
0.000656291;1.03175;
0.000657291;1.03175;
0.000658291;1.03175;
0.000659291;1.03175;
0.000660291;1.03175;
0.000661291;1.03175;
0.000662291;1.03175;
0.000663291;1.03175;
0.000664291;1.03175;
0.000665291;1.03175;
0.000666291;1.03175;
0.000667291;1.03175;
0.000668291;1.03175;
0.000669291;1.03175;
0.000670291;1.03175;
0.000671291;1.03175;
0.000672291;1.03175;
0.000673291;1.03175;
0.000674291;1.03175;
0.000675291;1.03175;
0.000676291;1.03175;
0.000677291;1.03175;
0.000678291;1.03175;
0.000679291;1.03175;
0.000680291;1.03175;
0.000681291;1.03175;
0.000682291;1.03175;
0.000683291;1.03175;
0.000684291;1.03175;
0.000685291;1.03175;
0.000686291;1.03175;
0.000687291;1.03175;
0.000688291;1.03175;
0.000689291;1.03175;
0.000690291;1.03175;
0.000691291;1.03175;
0.000692291;1.03175;
0.000693291;1.03175;
0.000694291;1.03175;
0.000695291;1.03175;
0.000696291;1.03175;
0.000697291;1.03175;
0.000698291;1.03175;
0.000699291;1.03175;
0.000700291;1.03175;
0.000701291;1.03175;
0.000702291;1.03175;
0.000703291;1.03175;
0.000704291;1.03175;
0.000705291;1.03175;
0.000706291;1.03175;
0.000707291;1.03175;
0.000708291;1.03175;
0.000709291;1.03175;
0.000710291;1.03175;
0.000711291;1.03175;
0.000712291;1.03175;
0.000713291;1.03175;
0.000714291;1.03175;
0.000715291;1.03175;
0.000716291;1.03175;
0.000717291;1.03175;
0.000718291;1.03175;
0.000719291;1.03175;
0.000720291;1.03175;
0.000721291;1.03175;
0.000722291;1.03175;
0.000723291;1.03175;
0.000724291;1.03175;
0.000725291;1.03175;
0.000726291;1.03175;
0.000727291;1.03175;
0.000728291;1.03175;
0.000729291;1.03175;
0.000730291;1.03175;
0.000731291;1.03175;
0.000732291;1.03175;
0.000733291;1.03175;
0.000734291;1.03175;
0.000735291;1.03175;
0.000736291;1.03175;
0.000737291;1.03175;
0.000738291;1.03175;
0.000739291;1.03175;
0.000740291;1.03175;
0.000741291;1.03175;
0.000742291;1.03175;
0.000743291;1.03175;
0.000744291;1.03175;
0.000745291;1.03175;
0.000746291;1.03175;
0.000747291;1.03175;
0.000748291;1.03175;
0.000749291;1.03175;
0.000750291;1.03175;
0.000751291;1.03175;
0.000752291;1.03175;
0.000753291;1.03175;
0.000754291;1.03175;
0.000755291;1.03175;
0.000756291;1.03175;
0.000757291;1.03175;
0.000758291;1.03175;
0.000759291;1.03175;
0.000760291;1.03175;
0.000761291;1.03175;
0.000762291;1.03175;
0.000763291;1.03175;
0.000764291;1.03175;
0.000765291;1.03175;
0.000766291;1.03175;
0.000767291;1.03175;
0.000768291;1.03175;
0.000769291;1.03175;
0.000770291;1.03175;
0.000771291;1.03175;
0.000772291;1.03175;
0.000773291;1.03175;
0.000774291;1.03175;
0.000775291;1.03175;
0.000776291;1.03175;
0.000777291;1.03174;
0.000778291;1.03174;
0.000779291;1.03174;
0.000780291;1.03175;
0.000781291;1.03175;
0.000782291;1.03175;
0.000783291;1.03175;
0.000784291;1.03175;
0.000785291;1.03175;
0.000786291;1.03175;
0.000787291;1.03175;
0.000788291;1.03175;
0.000789291;1.03175;
0.000790291;1.03175;
0.000791291;1.03175;
0.000792291;1.03175;
0.000793291;1.03175;
0.000794291;1.03175;
0.000795291;1.03175;
0.000796291;1.03175;
0.000797291;1.03175;
0.000798291;1.03175;
0.000799291;1.03175;
0.000800291;1.03175;
0.000801291;1.03175;
0.000802291;1.03175;
0.000803291;1.03175;
0.000804291;1.03175;
0.000805291;1.03175;
0.000806291;1.03175;
0.000807291;1.03175;
0.000808291;1.03175;
0.000809291;1.03175;
0.000810291;1.03175;
0.000811291;1.03175;
0.000812291;1.03175;
0.000813291;1.03175;
0.000814291;1.03175;
0.000815291;1.03175;
0.000816291;1.03175;
0.000817291;1.03175;
0.000818291;1.03175;
0.000819291;1.03175;
0.000820291;1.03175;
0.000821291;1.03175;
0.000822291;1.03175;
0.000823291;1.03175;
0.000824291;1.03175;
0.000825291;1.03175;
0.000826291;1.03175;
0.000827291;1.03175;
0.000828291;1.03175;
0.000829291;1.03175;
0.000830291;1.03175;
0.000831291;1.03175;
0.000832291;1.03175;
0.000833291;1.03175;
0.000834291;1.03175;
0.000835291;1.03175;
0.000836291;1.03175;
0.000837291;1.03175;
0.000838291;1.03175;
0.000839291;1.03175;
0.000840291;1.03175;
0.000841291;1.03175;
0.000842291;1.03175;
0.000843291;1.03175;
0.000844291;1.03175;
0.000845291;1.03175;
0.000846291;1.03175;
0.000847291;1.03175;
0.000848291;1.03175;
0.000849291;1.03175;
0.000850291;1.03175;
0.000851291;1.03175;
0.000852291;1.03175;
0.000853291;1.03175;
0.000854291;1.03175;
0.000855291;1.03175;
0.000856291;1.03175;
0.000857291;1.03175;
0.000858291;1.03175;
0.000859291;1.03175;
0.000860291;1.03175;
0.000861291;1.03175;
0.000862291;1.03175;
0.000863291;1.03175;
0.000864291;1.03175;
0.000865291;1.03175;
0.000866291;1.03175;
0.000867291;1.03175;
0.000868291;1.03175;
0.000869291;1.03175;
0.000870291;1.03175;
0.000871291;1.03175;
0.000872291;1.03175;
0.000873291;1.03175;
0.000874291;1.03175;
0.000875291;1.03175;
0.000876291;1.03175;
0.000877291;1.03175;
0.000878291;1.03175;
0.000879291;1.03175;
0.000880291;1.03175;
0.000881291;1.03175;
0.000882291;1.03175;
0.000883291;1.03175;
0.000884291;1.03175;
0.000885291;1.03175;
0.000886291;1.03175;
0.000887291;1.03175;
0.000888291;1.03175;
0.000889291;1.03175;
0.000890291;1.03175;
0.000891291;1.03175;
0.000892291;1.03175;
0.000893291;1.03175;
0.000894291;1.03175;
0.000895291;1.03175;
0.000896291;1.03175;
0.000897291;1.03175;
0.000898291;1.03175;
0.000899291;1.03175;
0.000900291;1.03175;
0.000901291;1.03175;
0.000902291;1.03175;
0.000903291;1.03175;
