time;V(/VC1);
0.0050928;4.9693;
0.0051028;4.9696;
0.0051128;4.96991;
0.0051228;4.9702;
0.0051328;4.9705;
0.0051428;4.97079;
0.0051528;4.97109;
0.0051628;4.97137;
0.0051728;4.97166;
0.0051828;4.97194;
0.0051928;4.97222;
0.0052028;4.9725;
0.0052128;4.97277;
0.0052228;4.97304;
0.0052328;4.97331;
0.0052428;4.97357;
0.0052528;4.97384;
0.0052628;4.9741;
0.0052728;4.97435;
0.0052828;4.97461;
0.0052928;4.97486;
0.0053028;4.97511;
0.0053128;4.97536;
0.0053228;4.97561;
0.0053328;4.97585;
0.0053428;4.97609;
0.0053528;4.97633;
0.0053628;4.97656;
0.0053728;4.9768;
0.0053828;4.97703;
0.0053928;4.97725;
0.0054028;4.97748;
0.0054128;4.97771;
0.0054228;4.97793;
0.0054328;4.97815;
0.0054428;4.97836;
0.0054528;4.97858;
0.0054628;4.97879;
0.0054728;4.979;
0.0054828;4.97921;
0.0054928;4.97942;
0.0055028;4.97962;
0.0055128;4.97983;
0.0055228;4.98003;
0.0055328;4.98023;
0.0055428;4.98042;
0.0055528;4.98062;
0.0055628;4.98081;
0.0055728;4.981;
0.0055828;4.98119;
0.0055928;4.98138;
0.0056028;4.98156;
0.0056128;4.98175;
0.0056228;4.98193;
0.0056328;4.98211;
0.0056428;4.98229;
0.0056528;4.98246;
0.0056628;4.98264;
0.0056728;4.98281;
0.0056828;4.98298;
0.0056928;4.98315;
0.0057028;4.98332;
0.0057128;4.98348;
0.0057228;4.98365;
0.0057328;4.98381;
0.0057428;4.98397;
0.0057528;4.98413;
0.0057628;4.98429;
0.0057728;4.98445;
0.0057828;4.9846;
0.0057928;4.98475;
0.0058028;4.98491;
0.0058128;4.98506;
0.0058228;4.9852;
0.0058328;4.98535;
0.0058428;4.9855;
0.0058528;4.98564;
0.0058628;4.98578;
0.0058728;4.98593;
0.0058828;4.98607;
0.0058928;4.9862;
0.0059028;4.98634;
0.0059128;4.98648;
0.0059228;4.98661;
0.0059328;4.98675;
0.0059428;4.98688;
0.0059528;4.98701;
0.0059628;4.98714;
0.0059728;4.98727;
0.0059828;4.98739;
0.0059928;4.98752;
0.0060028;4.98764;
0.0060128;4.98776;
0.0060228;4.98789;
0.0060328;4.98801;
0.0060428;4.98813;
0.0060528;4.98824;
0.0060628;4.98836;
0.0060728;4.98848;
0.0060828;4.98859;
0.0060928;4.98871;
0.0061028;4.98882;
0.0061128;4.98893;
0.0061228;4.98904;
0.0061328;4.98915;
0.0061428;4.98926;
0.0061528;4.98936;
0.0061628;4.98947;
0.0061728;4.98957;
0.0061828;4.98968;
0.0061928;4.98978;
0.0062028;4.98988;
0.0062128;4.98998;
0.0062228;4.99008;
0.0062328;4.99018;
0.0062428;4.99028;
0.0062528;4.99038;
0.0062628;4.99047;
0.0062728;4.99057;
0.0062828;4.99066;
0.0062928;4.99075;
0.0063028;4.99084;
0.0063128;4.99094;
0.0063228;4.99103;
0.0063328;4.99112;
0.0063428;4.9912;
0.0063528;4.99129;
0.0063628;4.99138;
0.0063728;4.99146;
0.0063828;4.99155;
0.0063928;4.99163;
0.0064028;4.99172;
0.0064128;4.9918;
0.0064228;4.99188;
0.0064328;4.99196;
0.0064428;4.99204;
0.0064528;4.99212;
0.0064628;4.9922;
0.0064728;4.99228;
0.0064828;4.99235;
0.0064928;4.99243;
0.0065028;4.9925;
0.0065128;4.99258;
0.0065228;4.99265;
0.0065328;4.99273;
0.0065428;4.9928;
0.0065528;4.99287;
0.0065628;4.99294;
0.0065728;4.99301;
0.0065828;4.99308;
0.0065928;4.99315;
0.0066028;4.99322;
0.0066128;4.99329;
0.0066228;4.99335;
0.0066328;4.99342;
0.0066428;4.99348;
0.0066528;4.99355;
0.0066628;4.99361;
0.0066728;4.99368;
0.0066828;4.99374;
0.0066928;4.9938;
0.0067028;4.99386;
0.0067128;4.99392;
0.0067228;4.99398;
0.0067328;4.99404;
0.0067428;4.9941;
0.0067528;4.99416;
0.0067628;4.99422;
0.0067728;4.99428;
0.0067828;4.99433;
0.0067928;4.99439;
0.0068028;4.99445;
0.0068128;4.9945;
0.0068228;4.99456;
0.0068328;4.99461;
0.0068428;4.99466;
0.0068528;4.99472;
0.0068628;4.99477;
0.0068728;4.99482;
0.0068828;4.99487;
0.0068928;4.99492;
0.0069028;4.99498;
0.0069128;4.99503;
0.0069228;4.99507;
0.0069328;4.99512;
0.0069428;4.99517;
0.0069528;4.99522;
0.0069628;4.99527;
0.0069728;4.99532;
0.0069828;4.99536;
0.0069928;4.99541;
0.0070028;4.99545;
0.0070128;4.9955;
0.0070228;4.99554;
0.0070328;4.99559;
0.0070428;4.99563;
0.0070528;4.99568;
0.0070628;4.99572;
0.0070728;4.99576;
0.0070828;4.9958;
0.0070928;4.99584;
0.0071028;4.99589;
0.0071128;4.99593;
0.0071228;4.99597;
0.0071328;4.99601;
0.0071428;4.99605;
0.0071528;4.99609;
0.0071628;4.99613;
0.0071728;4.99616;
0.0071828;4.9962;
0.0071928;4.99624;
0.0072028;4.99628;
0.0072128;4.99631;
0.0072228;4.99635;
0.0072328;4.99639;
0.0072428;4.99642;
0.0072528;4.99646;
0.0072628;4.99649;
0.0072728;4.99653;
0.0072828;4.99656;
0.0072928;4.9966;
0.0073028;4.99663;
0.0073128;4.99667;
0.0073228;4.9967;
0.0073328;4.99673;
0.0073428;4.99676;
0.0073528;4.9968;
0.0073628;4.99683;
0.0073728;4.99686;
0.0073828;4.99689;
0.0073928;4.99692;
0.0074028;4.99695;
0.0074128;4.99698;
0.0074228;4.99701;
0.0074328;4.99704;
0.0074428;4.99707;
0.0074528;4.9971;
0.0074628;4.99713;
0.0074728;4.99716;
0.0074828;4.99719;
0.0074928;4.99721;
0.0075028;4.99724;
0.0075128;4.99727;
0.0075228;4.9973;
0.0075328;4.99732;
0.0075428;4.99735;
0.0075528;4.99738;
0.0075628;4.9974;
0.0075728;4.99743;
0.0075828;4.99745;
0.0075928;4.99748;
0.0076028;4.9975;
0.0076128;4.99753;
0.0076228;4.99755;
0.0076328;4.99758;
0.0076428;4.9976;
0.0076528;4.99763;
0.0076628;4.99765;
0.0076728;4.99767;
0.0076828;4.9977;
0.0076928;4.99772;
0.0077028;4.99774;
0.0077128;4.99776;
0.0077228;4.99779;
0.0077328;4.99781;
0.0077428;4.99783;
0.0077528;4.99785;
0.0077628;4.99787;
0.0077728;4.99789;
0.0077828;4.99792;
0.0077928;4.99794;
0.0078028;4.99796;
0.0078128;4.99798;
0.0078228;4.998;
0.0078328;4.99802;
0.0078428;4.99804;
0.0078528;4.99806;
0.0078628;4.99808;
0.0078728;4.9981;
0.0078828;4.99811;
0.0078928;4.99813;
0.0079028;4.99815;
0.0079128;4.99817;
0.0079228;4.99819;
0.0079328;4.99821;
0.0079428;4.99822;
0.0079528;4.99824;
0.0079628;4.99826;
0.0079728;4.99828;
0.0079828;4.99829;
0.0079928;4.99831;
0.0080028;4.99833;
0.0080128;4.99834;
0.0080228;4.99836;
0.0080328;4.99838;
0.0080428;4.99839;
0.0080528;4.99841;
0.0080628;4.99842;
0.0080728;4.99844;
0.0080828;4.99846;
0.0080928;4.99847;
0.0081028;4.99849;
0.0081128;4.9985;
0.0081228;4.99852;
0.0081328;4.99853;
0.0081428;4.99855;
0.0081528;4.99856;
0.0081628;4.99857;
0.0081728;4.99859;
0.0081828;4.9986;
0.0081928;4.99862;
0.0082028;4.99863;
0.0082128;4.99864;
0.0082228;4.99866;
0.0082328;4.99867;
0.0082428;4.99868;
0.0082528;4.9987;
0.0082628;4.99871;
0.0082728;4.99872;
0.0082828;4.99874;
0.0082928;4.99875;
0.0083028;4.99876;
0.0083128;4.99877;
0.0083228;4.99879;
0.0083328;4.9988;
0.0083428;4.99881;
0.0083528;4.99882;
0.0083628;4.99883;
0.0083728;4.99884;
0.0083828;4.99886;
0.0083928;4.99887;
0.0084028;4.99888;
0.0084128;4.99889;
0.0084228;4.9989;
0.0084328;4.99891;
0.0084428;4.99892;
0.0084528;4.99893;
0.0084628;4.99894;
0.0084728;4.99895;
0.0084828;4.99897;
0.0084928;4.99898;
0.0085028;4.99899;
0.0085128;4.999;
0.0085228;4.99901;
0.0085328;4.99902;
0.0085428;4.99903;
0.0085528;4.99904;
0.0085628;4.99904;
0.0085728;4.99905;
0.0085828;4.99906;
0.0085928;4.99907;
0.0086028;4.99908;
0.0086128;4.99909;
0.0086228;4.9991;
0.0086328;4.99911;
0.0086428;4.99912;
0.0086528;4.99913;
0.0086628;4.99914;
0.0086728;4.99914;
0.0086828;4.99915;
0.0086928;4.99916;
0.0087028;4.99917;
0.0087128;4.99918;
0.0087228;4.99919;
0.0087328;4.99919;
0.0087428;4.9992;
0.0087528;4.99921;
0.0087628;4.99922;
0.0087728;4.99923;
0.0087828;4.99923;
0.0087928;4.99924;
0.0088028;4.99925;
0.0088128;4.99926;
0.0088228;4.99926;
0.0088328;4.99927;
0.0088428;4.99928;
0.0088528;4.99929;
0.0088628;4.99929;
0.0088728;4.9993;
0.0088828;4.99931;
0.0088928;4.99931;
0.0089028;4.99932;
0.0089128;4.99933;
0.0089228;4.99933;
0.0089328;4.99934;
0.0089428;4.99935;
0.0089528;4.99935;
0.0089628;4.99936;
0.0089728;4.99937;
0.0089828;4.99937;
0.0089928;4.99938;
0.0090028;4.99938;
0.0090128;4.99939;
0.0090228;4.9994;
0.0090328;4.9994;
0.0090428;4.99941;
0.0090528;4.99941;
0.0090628;4.99942;
0.0090728;4.99943;
0.0090828;4.99943;
0.0090928;4.99944;
0.0091028;4.99944;
0.0091128;4.99945;
0.0091228;4.99945;
0.0091328;4.99946;
0.0091428;4.99947;
0.0091528;4.99947;
0.0091628;4.99948;
0.0091728;4.99948;
0.0091828;4.99949;
0.0091928;4.99949;
0.0092028;4.9995;
0.0092128;4.9995;
0.0092228;4.99951;
0.0092328;4.99951;
0.0092428;4.99952;
0.0092528;4.99952;
0.0092628;4.99953;
0.0092728;4.99953;
0.0092828;4.99953;
0.0092928;4.99954;
0.0093028;4.99954;
0.0093128;4.99955;
0.0093228;4.99955;
0.0093328;4.99956;
0.0093428;4.99956;
