time;I(L1);
3.89369e-05;0.0393888;
3.90369e-05;0.0393925;
3.91369e-05;0.0393962;
3.92369e-05;0.0393997;
3.93369e-05;0.0394033;
3.94369e-05;0.0394068;
3.95369e-05;0.0394102;
3.96369e-05;0.0394136;
3.97369e-05;0.039417;
3.98369e-05;0.0394203;
3.99369e-05;0.0394236;
4.00369e-05;0.0394269;
4.01369e-05;0.0394301;
4.02369e-05;0.0394332;
4.03369e-05;0.0394363;
4.04369e-05;0.0394394;
4.05369e-05;0.0394425;
4.06369e-05;0.0394455;
4.07369e-05;0.0394484;
4.08369e-05;0.0394514;
4.09369e-05;0.0394543;
4.10369e-05;0.0394571;
4.11369e-05;0.0394599;
4.12369e-05;0.0394627;
4.13369e-05;0.0394655;
4.14369e-05;0.0394682;
4.15369e-05;0.0394709;
4.16369e-05;0.0394735;
4.17369e-05;0.0394762;
4.18369e-05;0.0394787;
4.19369e-05;0.0394813;
4.20369e-05;0.0394838;
4.21369e-05;0.0394863;
4.22369e-05;0.0394888;
4.23369e-05;0.0394912;
4.24369e-05;0.0394936;
4.25369e-05;0.0394959;
4.26369e-05;0.0394983;
4.27369e-05;0.0395006;
4.28369e-05;0.0395029;
4.29369e-05;0.0395051;
4.30369e-05;0.0395073;
4.31369e-05;0.0395095;
4.32369e-05;0.0395117;
4.33369e-05;0.0395138;
4.34369e-05;0.0395159;
4.35369e-05;0.039518;
4.36369e-05;0.0395201;
4.37369e-05;0.0395221;
4.38369e-05;0.0395241;
4.39369e-05;0.0395261;
4.40369e-05;0.0395281;
4.41369e-05;0.03953;
4.42369e-05;0.0395319;
4.43369e-05;0.0395338;
4.44369e-05;0.0395357;
4.45369e-05;0.0395375;
4.46369e-05;0.0395393;
4.47369e-05;0.0395411;
4.48369e-05;0.0395429;
4.49369e-05;0.0395446;
4.50369e-05;0.0395464;
4.51369e-05;0.0395481;
4.52369e-05;0.0395498;
4.53369e-05;0.0395514;
4.54369e-05;0.0395531;
4.55369e-05;0.0395547;
4.56369e-05;0.0395563;
4.57369e-05;0.0395579;
4.58369e-05;0.0395594;
4.59369e-05;0.039561;
4.60369e-05;0.0395625;
4.61369e-05;0.039564;
4.62369e-05;0.0395655;
4.63369e-05;0.0395669;
4.64369e-05;0.0395684;
4.65369e-05;0.0395698;
4.66369e-05;0.0395712;
4.67369e-05;0.0395726;
4.68369e-05;0.039574;
4.69369e-05;0.0395754;
4.70369e-05;0.0395767;
4.71369e-05;0.039578;
4.72369e-05;0.0395793;
4.73369e-05;0.0395806;
4.74369e-05;0.0395819;
4.75369e-05;0.0395832;
4.76369e-05;0.0395844;
4.77369e-05;0.0395856;
4.78369e-05;0.0395868;
4.79369e-05;0.039588;
4.80369e-05;0.0395892;
4.81369e-05;0.0395904;
4.82369e-05;0.0395916;
4.83369e-05;0.0395927;
4.84369e-05;0.0395938;
4.85369e-05;0.0395949;
4.86369e-05;0.039596;
4.87369e-05;0.0395971;
4.88369e-05;0.0395982;
4.89369e-05;0.0395992;
4.90369e-05;0.0396003;
4.91369e-05;0.0396013;
4.92369e-05;0.0396023;
4.93369e-05;0.0396033;
4.94369e-05;0.0396043;
4.95369e-05;0.0396053;
4.96369e-05;0.0396063;
4.97369e-05;0.0396072;
4.98369e-05;0.0396082;
4.99369e-05;0.0396091;
5.00369e-05;0.03961;
5.01369e-05;0.0396109;
5.02369e-05;0.0396118;
5.03369e-05;0.0396127;
5.04369e-05;0.0396136;
5.05369e-05;0.0396144;
5.06369e-05;0.0396153;
5.07369e-05;0.0396161;
5.08369e-05;0.039617;
5.09369e-05;0.0396178;
5.10369e-05;0.0396186;
5.11369e-05;0.0396194;
5.12369e-05;0.0396202;
5.13369e-05;0.039621;
5.14369e-05;0.0396217;
5.15369e-05;0.0396225;
5.16369e-05;0.0396233;
5.17369e-05;0.039624;
5.18369e-05;0.0396247;
5.19369e-05;0.0396255;
5.20369e-05;0.0396262;
5.21369e-05;0.0396269;
5.22369e-05;0.0396276;
5.23369e-05;0.0396283;
5.24369e-05;0.0396289;
5.25369e-05;0.0396296;
5.26369e-05;0.0396303;
5.27369e-05;0.0396309;
5.28369e-05;0.0396316;
5.29369e-05;0.0396322;
5.30369e-05;0.0396328;
5.31369e-05;0.0396335;
5.32369e-05;0.0396341;
5.33369e-05;0.0396347;
5.34369e-05;0.0396353;
5.35369e-05;0.0396359;
5.36369e-05;0.0396365;
5.37369e-05;0.039637;
5.38369e-05;0.0396376;
5.39369e-05;0.0396382;
5.40369e-05;0.0396387;
5.41369e-05;0.0396393;
5.42369e-05;0.0396398;
5.43369e-05;0.0396404;
5.44369e-05;0.0396409;
5.45369e-05;0.0396414;
5.46369e-05;0.0396419;
5.47369e-05;0.0396424;
5.48369e-05;0.0396429;
5.49369e-05;0.0396434;
5.50369e-05;0.0396439;
5.51369e-05;0.0396444;
5.52369e-05;0.0396449;
5.53369e-05;0.0396453;
5.54369e-05;0.0396458;
5.55369e-05;0.0396463;
5.56369e-05;0.0396467;
5.57369e-05;0.0396472;
5.58369e-05;0.0396476;
5.59369e-05;0.0396481;
5.60369e-05;0.0396485;
5.61369e-05;0.0396489;
5.62369e-05;0.0396493;
5.63369e-05;0.0396497;
5.64369e-05;0.0396502;
5.65369e-05;0.0396506;
5.66369e-05;0.039651;
5.67369e-05;0.0396514;
5.68369e-05;0.0396518;
5.69369e-05;0.0396521;
5.70369e-05;0.0396525;
5.71369e-05;0.0396529;
5.72369e-05;0.0396533;
5.73369e-05;0.0396536;
5.74369e-05;0.039654;
5.75369e-05;0.0396544;
5.76369e-05;0.0396547;
5.77369e-05;0.0396551;
5.78369e-05;0.0396554;
5.79369e-05;0.0396557;
5.80369e-05;0.0396561;
5.81369e-05;0.0396564;
5.82369e-05;0.0396567;
5.83369e-05;0.0396571;
5.84369e-05;0.0396574;
5.85369e-05;0.0396577;
5.86369e-05;0.039658;
5.87369e-05;0.0396583;
5.88369e-05;0.0396586;
5.89369e-05;0.0396589;
5.90369e-05;0.0396592;
5.91369e-05;0.0396595;
5.92369e-05;0.0396598;
5.93369e-05;0.0396601;
5.94369e-05;0.0396604;
5.95369e-05;0.0396606;
5.96369e-05;0.0396609;
5.97369e-05;0.0396612;
5.98369e-05;0.0396614;
5.99369e-05;0.0396617;
6.00369e-05;0.039662;
6.01369e-05;0.0396622;
6.02369e-05;0.0396625;
6.03369e-05;0.0396627;
6.04369e-05;0.039663;
6.05369e-05;0.0396632;
6.06369e-05;0.0396635;
6.07369e-05;0.0396637;
6.08369e-05;0.0396639;
6.09369e-05;0.0396642;
6.10369e-05;0.0396644;
6.11369e-05;0.0396646;
6.12369e-05;0.0396649;
6.13369e-05;0.0396651;
6.14369e-05;0.0396653;
6.15369e-05;0.0396655;
6.16369e-05;0.0396657;
6.17369e-05;0.0396659;
6.18369e-05;0.0396661;
6.19369e-05;0.0396663;
6.20369e-05;0.0396666;
6.21369e-05;0.0396668;
6.22369e-05;0.0396669;
6.23369e-05;0.0396671;
6.24369e-05;0.0396673;
6.25369e-05;0.0396675;
6.26369e-05;0.0396677;
6.27369e-05;0.0396679;
6.28369e-05;0.0396681;
6.29369e-05;0.0396683;
6.30369e-05;0.0396684;
6.31369e-05;0.0396686;
6.32369e-05;0.0396688;
6.33369e-05;0.039669;
6.34369e-05;0.0396691;
6.35369e-05;0.0396693;
6.36369e-05;0.0396695;
6.37369e-05;0.0396696;
6.38369e-05;0.0396698;
6.39369e-05;0.03967;
6.40369e-05;0.0396701;
6.41369e-05;0.0396703;
6.42369e-05;0.0396704;
6.43369e-05;0.0396706;
6.44369e-05;0.0396707;
6.45369e-05;0.0396709;
6.46369e-05;0.039671;
6.47369e-05;0.0396712;
6.48369e-05;0.0396713;
6.49369e-05;0.0396714;
6.50369e-05;0.0396716;
6.51369e-05;0.0396717;
6.52369e-05;0.0396719;
6.53369e-05;0.039672;
6.54369e-05;0.0396721;
6.55369e-05;0.0396723;
6.56369e-05;0.0396724;
6.57369e-05;0.0396725;
6.58369e-05;0.0396726;
6.59369e-05;0.0396728;
6.60369e-05;0.0396729;
6.61369e-05;0.039673;
6.62369e-05;0.0396731;
6.63369e-05;0.0396732;
6.64369e-05;0.0396734;
6.65369e-05;0.0396735;
6.66369e-05;0.0396736;
6.67369e-05;0.0396737;
6.68369e-05;0.0396738;
6.69369e-05;0.0396739;
6.70369e-05;0.039674;
6.71369e-05;0.0396741;
6.72369e-05;0.0396742;
6.73369e-05;0.0396743;
6.74369e-05;0.0396744;
6.75369e-05;0.0396745;
6.76369e-05;0.0396746;
6.77369e-05;0.0396747;
6.78369e-05;0.0396748;
6.79369e-05;0.0396749;
6.80369e-05;0.039675;
6.81369e-05;0.0396751;
6.82369e-05;0.0396752;
6.83369e-05;0.0396753;
6.84369e-05;0.0396754;
6.85369e-05;0.0396755;
6.86369e-05;0.0396756;
6.87369e-05;0.0396757;
6.88369e-05;0.0396758;
6.89369e-05;0.0396758;
6.90369e-05;0.0396759;
6.91369e-05;0.039676;
6.92369e-05;0.0396761;
6.93369e-05;0.0396762;
6.94369e-05;0.0396762;
6.95369e-05;0.0396763;
6.96369e-05;0.0396764;
6.97369e-05;0.0396765;
6.98369e-05;0.0396766;
6.99369e-05;0.0396766;
7.00369e-05;0.0396767;
7.01369e-05;0.0396768;
7.02369e-05;0.0396768;
7.03369e-05;0.0396769;
7.04369e-05;0.039677;
7.05369e-05;0.0396771;
7.06369e-05;0.0396771;
7.07369e-05;0.0396772;
7.08369e-05;0.0396773;
7.09369e-05;0.0396773;
7.10369e-05;0.0396774;
7.11369e-05;0.0396775;
7.12369e-05;0.0396775;
7.13369e-05;0.0396776;
7.14369e-05;0.0396776;
7.15369e-05;0.0396777;
7.16369e-05;0.0396778;
7.17369e-05;0.0396778;
7.18369e-05;0.0396779;
7.19369e-05;0.0396779;
7.20369e-05;0.039678;
7.21369e-05;0.0396781;
7.22369e-05;0.0396781;
7.23369e-05;0.0396782;
7.24369e-05;0.0396782;
7.25369e-05;0.0396783;
7.26369e-05;0.0396783;
7.27369e-05;0.0396784;
7.28369e-05;0.0396784;
7.29369e-05;0.0396785;
7.30369e-05;0.0396785;
7.31369e-05;0.0396786;
7.32369e-05;0.0396786;
7.33369e-05;0.0396787;
7.34369e-05;0.0396787;
7.35369e-05;0.0396788;
7.36369e-05;0.0396788;
7.37369e-05;0.0396789;
7.38369e-05;0.0396789;
7.39369e-05;0.039679;
7.40369e-05;0.039679;
7.41369e-05;0.0396791;
7.42369e-05;0.0396791;
7.43369e-05;0.0396791;
7.44369e-05;0.0396792;
7.45369e-05;0.0396792;
7.46369e-05;0.0396793;
7.47369e-05;0.0396793;
7.48369e-05;0.0396794;
7.49369e-05;0.0396794;
7.50369e-05;0.0396794;
7.51369e-05;0.0396795;
7.52369e-05;0.0396795;
7.53369e-05;0.0396795;
7.54369e-05;0.0396796;
7.55369e-05;0.0396796;
7.56369e-05;0.0396797;
7.57369e-05;0.0396797;
7.58369e-05;0.0396797;
7.59369e-05;0.0396798;
7.60369e-05;0.0396798;
7.61369e-05;0.0396798;
7.62369e-05;0.0396799;
7.63369e-05;0.0396799;
7.64369e-05;0.0396799;
7.65369e-05;0.03968;
7.66369e-05;0.03968;
7.67369e-05;0.03968;
7.68369e-05;0.0396801;
7.69369e-05;0.0396801;
7.70369e-05;0.0396801;
7.71369e-05;0.0396802;
7.72369e-05;0.0396802;
7.73369e-05;0.0396802;
7.74369e-05;0.0396802;
7.75369e-05;0.0396803;
7.76369e-05;0.0396803;
7.77369e-05;0.0396803;
7.78369e-05;0.0396804;
7.79369e-05;0.0396804;
7.80369e-05;0.0396804;
7.81369e-05;0.0396804;
7.82369e-05;0.0396805;
7.83369e-05;0.0396805;
7.84369e-05;0.0396805;
7.85369e-05;0.0396805;
7.86369e-05;0.0396806;
7.87369e-05;0.0396806;
7.88369e-05;0.0396806;
7.89369e-05;0.0396806;
7.90369e-05;0.0396807;
7.91369e-05;0.0396807;
7.92369e-05;0.0396807;
7.93369e-05;0.0396807;
7.94e-05;0.0396807;
