time;V(/V2in);V(/Vl);
6.06175e-05;4.87792;2.98822;
6.09315e-05;4.90999;2.92742;
6.12455e-05;4.93722;2.86373;
6.15595e-05;4.95959;2.79721;
6.18735e-05;4.97706;2.72794;
6.21875e-05;4.98963;2.65598;
6.25015e-05;4.99727;2.5814;
6.28155e-05;4.99999;2.50427;
6.31295e-05;4.99778;2.42468;
6.34435e-05;4.99065;2.3427;
6.37575e-05;4.97859;2.2584;
6.40715e-05;4.96163;2.17188;
6.43855e-05;4.93977;2.08322;
6.46995e-05;4.91304;1.99251;
6.50135e-05;4.88147;1.89983;
6.53275e-05;4.84509;1.80527;
6.56415e-05;4.80393;1.70894;
6.59555e-05;4.75804;1.61092;
6.62695e-05;4.70745;1.51132;
6.65835e-05;4.65222;1.41022;
6.68975e-05;4.59241;1.30774;
6.72115e-05;4.52807;1.20396;
6.75255e-05;4.45926;1.099;
6.78395e-05;4.38606;0.992955;
6.81535e-05;4.30854;0.88593;
6.84675e-05;4.22676;0.778033;
6.87815e-05;4.14082;0.669368;
6.90955e-05;4.0508;0.560043;
6.94095e-05;3.95678;0.450166;
6.97235e-05;3.85886;0.339846;
7.00375e-05;3.75714;0.22919;
7.03515e-05;3.65172;0.118308;
7.06655e-05;3.54269;0.00730994;
7.09795e-05;3.43017;-0.103696;
7.12935e-05;3.31427;-0.214599;
7.16075e-05;3.1951;-0.325291;
7.19215e-05;3.07279;-0.435662;
7.22355e-05;2.94744;-0.545603;
7.25495e-05;2.81918;-0.655007;
7.28635e-05;2.68815;-0.763764;
7.31775e-05;2.55447;-0.871769;
7.34915e-05;2.41827;-0.978915;
7.38055e-05;2.27968;-1.0851;
7.41195e-05;2.13885;-1.19021;
7.44335e-05;1.99591;-1.29414;
7.47475e-05;1.851;-1.3968;
7.50615e-05;1.70427;-1.49809;
7.53755e-05;1.55585;-1.5979;
7.56895e-05;1.4059;-1.69613;
7.60035e-05;1.25457;-1.79269;
7.63175e-05;1.102;-1.88748;
7.66315e-05;0.948341;-1.98041;
7.69455e-05;0.793749;-2.07139;
7.72595e-05;0.638374;-2.16033;
7.75735e-05;0.48237;-2.24713;
7.78875e-05;0.32589;-2.33173;
7.82015e-05;0.169089;-2.41402;
7.85155e-05;0.0121207;-2.49393;
7.88295e-05;-0.144859;-2.57139;
7.91435e-05;-0.301696;-2.64631;
7.94575e-05;-0.458236;-2.71862;
7.97715e-05;-0.614323;-2.78825;
8.00855e-05;-0.769805;-2.85513;
8.03995e-05;-0.924529;-2.91919;
