time;V(/V1in);V(/Vc);
0.00607554;4.8926;1.9309;
0.00608443;4.90157;1.95715;
0.00609296;4.90981;1.9822;
0.0061017;4.91788;2.0077;
0.00610964;4.9249;2.03075;
0.00611964;4.93328;2.05959;
0.00612781;4.93977;2.08301;
0.00613614;4.94604;2.10671;
0.00614446;4.95197;2.13028;
0.00615446;4.95863;2.15839;
0.00616233;4.96353;2.18035;
0.0061708;4.96846;2.20384;
0.0061798;4.9733;2.22864;
0.00618816;4.97744;2.2515;
0.0061967;4.98131;2.2747;
0.00620479;4.98464;2.29651;
0.00621479;4.98831;2.32328;
0.00622281;4.99089;2.34459;
0.00623097;4.99319;2.3661;
0.00623946;4.99522;2.38832;
0.00624826;4.99695;2.41116;
0.00625591;4.99814;2.43088;
0.00626416;4.9991;2.45198;
0.00627319;4.99975;2.47488;
0.00628172;4.99999;2.49633;
0.00629045;4.99987;2.51809;
0.00629841;4.99942;2.53776;
0.00630841;4.99841;2.56225;
0.00631654;4.99722;2.58197;
0.00632481;4.99567;2.60185;
0.00633318;4.99375;2.62181;
0.00634318;4.991;2.6454;
0.00635113;4.98846;2.66396;
0.00635959;4.98541;2.68352;
0.00636878;4.98169;2.70456;
0.00637711;4.97796;2.72343;
0.00638561;4.97379;2.74251;
0.00639374;4.96947;2.76056;
0.00640374;4.96371;2.78251;
0.00641169;4.95877;2.79975;
0.00641988;4.95336;2.81734;
0.0064284;4.94737;2.83544;
0.00643711;4.94089;2.85372;
0.00644487;4.93478;2.86984;
0.0064531;4.92799;2.88674;
0.00646247;4.91986;2.90573;
0.00647096;4.91211;2.92273;
0.00647964;4.90382;2.93989;
0.00648766;4.89583;2.95555;
0.00649766;4.88544;2.9748;
0.00650566;4.87677;2.98999;
0.00651379;4.86764;3.00523;
0.00652231;4.85773;3.02098;
0.00653109;4.84714;3.03699;
0.00653877;4.83758;3.0508;
0.00654701;4.82699;3.06543;
0.00655612;4.81492;3.08135;
0.00656464;4.80325;3.09601;
0.00657336;4.79096;3.11077;
