frequency;V(/Vo4) (gain);
251.189;-29.9362;
257.04;-30.8388;
263.027;-31.8413;
269.153;-32.9698;
275.423;-34.2621;
281.838;-35.7757;
288.403;-37.6045;
295.121;-39.9183;
301.995;-43.0753;
309.03;-48.0776;
316.228;-61.1596;
323.594;-53.1706;
331.131;-45.5696;
338.844;-41.5762;
346.737;-38.8477;
354.813;-36.7712;
363.078;-35.0929;
371.535;-33.6833;
380.189;-32.467;
389.045;-31.3965;
398.107;-30.4397;
407.38;-29.5739;
416.869;-28.7827;
426.58;-28.0537;
436.516;-27.3771;
446.684;-26.7453;
457.088;-26.1524;
467.735;-25.5934;
478.63;-25.0641;
489.779;-24.5612;
501.187;-24.0817;
512.861;-23.6232;
524.807;-23.1837;
537.032;-22.7612;
549.541;-22.3543;
562.341;-21.9616;
575.44;-21.5817;
588.844;-21.2137;
602.56;-20.8567;
616.595;-20.5096;
630.957;-20.1719;
645.654;-19.8428;
660.693;-19.5216;
676.083;-19.2079;
691.831;-18.9012;
707.946;-18.6009;
724.436;-18.3067;
741.31;-18.0181;
758.578;-17.7349;
776.247;-17.4567;
794.328;-17.1832;
812.831;-16.9141;
831.764;-16.6493;
851.138;-16.3884;
870.964;-16.1313;
891.251;-15.8778;
912.011;-15.6276;
933.254;-15.3807;
954.993;-15.1369;
977.237;-14.896;
1000;-14.6579;
1023.29;-14.4225;
1047.13;-14.1897;
1071.52;-13.9594;
1096.48;-13.7315;
1122.02;-13.5058;
1148.15;-13.2824;
1174.9;-13.0611;
1202.26;-12.8419;
1230.27;-12.6247;
1258.93;-12.4095;
1288.25;-12.1961;
1318.26;-11.9847;
1348.96;-11.7751;
1380.38;-11.5672;
1412.54;-11.3611;
1445.44;-11.1568;
1479.11;-10.9541;
1513.56;-10.7532;
1548.82;-10.5539;
1584.89;-10.3562;
1621.81;-10.1602;
1659.59;-9.96578;
1698.24;-9.77301;
1737.8;-9.58187;
1778.28;-9.39234;
1819.7;-9.20444;
1862.09;-9.01817;
1905.46;-8.83353;
1949.84;-8.65053;
1995.26;-8.46919;
2041.74;-8.28952;
2089.3;-8.11153;
2137.96;-7.93524;
2187.76;-7.76067;
2238.72;-7.58783;
2290.87;-7.41675;
2344.23;-7.24745;
2398.83;-7.07995;
2454.71;-6.91428;
2511.89;-6.75047;
2570.4;-6.58853;
2630.27;-6.42849;
2691.53;-6.27039;
2754.23;-6.11424;
2818.38;-5.96008;
2884.03;-5.80794;
2951.21;-5.65784;
3019.95;-5.5098;
3090.3;-5.36387;
3162.28;-5.22005;
3235.94;-5.07839;
3311.31;-4.9389;
3388.44;-4.80161;
3467.37;-4.66655;
3548.13;-4.53373;
3630.78;-4.40317;
3715.35;-4.27491;
3801.89;-4.14895;
3890.45;-4.02531;
3981.07;-3.90402;
4073.8;-3.78507;
4168.69;-3.66848;
4265.8;-3.55427;
4365.16;-3.44244;
4466.84;-3.33299;
4570.88;-3.22593;
4677.35;-3.12126;
4786.3;-3.01897;
4897.79;-2.91907;
5011.87;-2.82156;
5128.61;-2.72641;
5248.07;-2.63362;
5370.32;-2.54318;
5495.41;-2.45508;
5623.41;-2.36929;
5754.4;-2.2858;
5888.44;-2.20458;
6025.6;-2.12563;
6165.95;-2.0489;
6309.57;-1.97437;
6456.54;-1.90202;
6606.93;-1.83181;
6760.83;-1.76372;
6918.31;-1.6977;
