frequency;V(/Vo2) (gain);
1548.82;-0.0178768;
1584.89;-0.0170738;
1621.81;-0.0163068;
1659.59;-0.0155742;
1698.24;-0.0148744;
1737.8;-0.0142061;
1778.28;-0.0135677;
1819.7;-0.012958;
1862.09;-0.0123756;
1905.46;-0.0118193;
1949.84;-0.0112881;
1995.26;-0.0107807;
2041.74;-0.010296;
2089.3;-0.00983315;
2137.96;-0.00939107;
2187.76;-0.00896884;
2238.72;-0.00856557;
2290.87;-0.00818042;
2344.23;-0.00781257;
2398.83;-0.00746125;
2454.71;-0.00712571;
2511.89;-0.00680525;
2570.4;-0.0064992;
2630.27;-0.00620689;
2691.53;-0.00592773;
2754.23;-0.00566111;
2818.38;-0.00540648;
2884.03;-0.00516329;
2951.21;-0.00493103;
3019.95;-0.00470922;
3090.3;-0.00449738;
3162.28;-0.00429507;
3235.94;-0.00410185;
3311.31;-0.00391732;
3388.44;-0.00374108;
3467.37;-0.00357278;
3548.13;-0.00341204;
3630.78;-0.00325853;
3715.35;-0.00311192;
3801.89;-0.00297191;
3890.45;-0.0028382;
3981.07;-0.0027105;
4073.8;-0.00258854;
4168.69;-0.00247207;
4265.8;-0.00236084;
4365.16;-0.00225461;
4466.84;-0.00215316;
4570.88;-0.00205628;
4677.35;-0.00196375;
4786.3;-0.00187539;
4897.79;-0.001791;
5011.87;-0.00171041;
5128.61;-0.00163344;
5248.07;-0.00155994;
5370.32;-0.00148974;
5495.41;-0.0014227;
5623.41;-0.00135868;
5754.4;-0.00129754;
5888.44;-0.00123915;
6025.6;-0.00118338;
6165.95;-0.00113013;
6309.57;-0.00107927;
6456.54;-0.0010307;
6606.93;-0.000984318;
6760.83;-0.000940021;
6918.31;-0.000897718;
7079.46;-0.000857318;
7244.36;-0.000818736;
7413.1;-0.00078189;
7585.78;-0.000746702;
7762.47;-0.000713098;
7943.28;-0.000681005;
8128.31;-0.000650357;
8317.64;-0.000621089;
8511.38;-0.000593137;
8709.64;-0.000566443;
8912.51;-0.000540951;
9120.11;-0.000516605;
9332.54;-0.000493355;
9549.93;-0.000471152;
9772.37;-0.000449948;
10000;-0.000429698;
10232.9;-0.000410359;
10471.3;-0.000391891;
10715.2;-0.000374254;
10964.8;-0.00035741;
11220.2;-0.000341325;
11481.5;-0.000325963;
11749;-0.000311293;
12022.6;-0.000297283;
12302.7;-0.000283903;
12589.3;-0.000271126;
12882.5;-0.000258924;
13182.6;-0.00024727;
13489.6;-0.000236142;
13803.8;-0.000225514;
14125.4;-0.000215364;
14454.4;-0.000205672;
14791.1;-0.000196415;
15135.6;-0.000187575;
15488.2;-0.000179133;
15848.9;-0.000171071;
16218.1;-0.000163372;
16595.9;-0.000156019;
16982.4;-0.000148997;
17378;-0.000142291;
17782.8;-0.000135887;
18197;-0.000129771;
18620.9;-0.000123931;
19054.6;-0.000118353;
19498.4;-0.000113026;
19952.6;-0.000107939;
20417.4;-0.000103081;
20893;-9.84418e-05;
21379.6;-9.40113e-05;
21877.6;-8.97801e-05;
22387.2;-8.57394e-05;
22908.7;-8.18805e-05;
23442.3;-7.81953e-05;
23988.3;-7.4676e-05;
24547.1;-7.1315e-05;
25118.9;-6.81053e-05;
25704;-6.50401e-05;
26302.7;-6.21129e-05;
26915.3;-5.93173e-05;
27542.3;-5.66476e-05;
28183.8;-5.40981e-05;
28840.3;-5.16633e-05;
29512.1;-4.93381e-05;
30199.5;-4.71175e-05;
30903;-4.49969e-05;
31622.8;-4.29717e-05;
32359.4;-4.10377e-05;
33113.1;-3.91907e-05;
33884.4;-3.74268e-05;
34673.7;-3.57423e-05;
35481.3;-3.41337e-05;
36307.8;-3.25974e-05;
37153.5;-3.11303e-05;
38018.9;-2.97292e-05;
38904.5;-2.83912e-05;
39810.7;-2.71134e-05;
40738;-2.58931e-05;
41686.9;-2.47277e-05;
42658;-2.36148e-05;
43651.6;-2.25519e-05;
44668.4;-2.15369e-05;
45708.8;-2.05676e-05;
46773.5;-1.96419e-05;
47863;-1.87579e-05;
48977.9;-1.79136e-05;
50118.7;-1.71074e-05;
51286.1;-1.63374e-05;
52480.7;-1.56021e-05;
53703.2;-1.48999e-05;
54954.1;-1.42293e-05;
56234.1;-1.35889e-05;
57544;-1.29773e-05;
58884.4;-1.23932e-05;
60256;-1.18354e-05;
61659.5;-1.13027e-05;
63095.7;-1.0794e-05;
64565.4;-1.03082e-05;
66069.3;-9.84428e-06;
67608.3;-9.40122e-06;
69183.1;-8.97809e-06;
70794.6;-8.57401e-06;
72443.6;-8.18812e-06;
74131;-7.81959e-06;
75857.8;-7.46765e-06;
77624.7;-7.13156e-06;
79432.8;-6.81058e-06;
81283.1;-6.50406e-06;
83176.4;-6.21133e-06;
85113.8;-5.93177e-06;
87096.4;-5.6648e-06;
89125.1;-5.40984e-06;
91201.1;-5.16636e-06;
93325.4;-4.93383e-06;
95499.3;-4.71177e-06;
97723.7;-4.49971e-06;
100000;-4.29719e-06;
