frequency;V(/Vo3) (gain);
1348.96;-20.3995;
1380.38;-20.6601;
1412.54;-20.9177;
1445.44;-21.1723;
1479.11;-21.4242;
1513.56;-21.6735;
1548.82;-21.9203;
1584.89;-22.1648;
1621.81;-22.4071;
1659.59;-22.6473;
1698.24;-22.8856;
1737.8;-23.1219;
1778.28;-23.3565;
1819.7;-23.5895;
1862.09;-23.8208;
1905.46;-24.0506;
1949.84;-24.279;
1995.26;-24.506;
2041.74;-24.7318;
2089.3;-24.9563;
2137.96;-25.1796;
2187.76;-25.4019;
2238.72;-25.6231;
2290.87;-25.8433;
2344.23;-26.0625;
2398.83;-26.2809;
2454.71;-26.4983;
2511.89;-26.715;
2570.4;-26.9309;
2630.27;-27.146;
2691.53;-27.3605;
2754.23;-27.5742;
2818.38;-27.7874;
2884.03;-27.9999;
2951.21;-28.2118;
3019.95;-28.4232;
3090.3;-28.6341;
3162.28;-28.8445;
3235.94;-29.0543;
3311.31;-29.2638;
3388.44;-29.4728;
3467.37;-29.6814;
3548.13;-29.8895;
3630.78;-30.0974;
3715.35;-30.3048;
3801.89;-30.5119;
3890.45;-30.7187;
3981.07;-30.9252;
4073.8;-31.1314;
4168.69;-31.3373;
4265.8;-31.5429;
4365.16;-31.7483;
4466.84;-31.9534;
4570.88;-32.1583;
4677.35;-32.363;
4786.3;-32.5675;
4897.79;-32.7717;
5011.87;-32.9758;
5128.61;-33.1797;
5248.07;-33.3834;
5370.32;-33.5869;
5495.41;-33.7903;
5623.41;-33.9935;
5754.4;-34.1966;
5888.44;-34.3995;
6025.6;-34.6023;
6165.95;-34.805;
6309.57;-35.0076;
6456.54;-35.21;
6606.93;-35.4123;
6760.83;-35.6146;
6918.31;-35.8167;
7079.46;-36.0187;
7244.36;-36.2206;
7413.1;-36.4225;
7585.78;-36.6243;
7762.47;-36.8259;
7943.28;-37.0276;
8128.31;-37.2291;
8317.64;-37.4306;
8511.38;-37.632;
8709.64;-37.8333;
8912.51;-38.0346;
9120.11;-38.2358;
