frequency;V(/Vo1) (gain);
6760.83;-16.739;
6918.31;-16.9349;
7079.46;-17.1309;
7244.36;-17.3271;
7413.1;-17.5235;
7585.78;-17.72;
7762.47;-17.9167;
7943.28;-18.1136;
8128.31;-18.3106;
8317.64;-18.5077;
8511.38;-18.7049;
8709.64;-18.9023;
8912.51;-19.0998;
9120.11;-19.2974;
9332.54;-19.4951;
9549.93;-19.6929;
9772.37;-19.8908;
10000;-20.0888;
10232.9;-20.2868;
10471.3;-20.485;
10715.2;-20.6833;
10964.8;-20.8816;
11220.2;-21.08;
11481.5;-21.2785;
11749;-21.477;
12022.6;-21.6756;
12302.7;-21.8743;
12589.3;-22.073;
12882.5;-22.2718;
13182.6;-22.4707;
13489.6;-22.6695;
13803.8;-22.8685;
14125.4;-23.0675;
14454.4;-23.2665;
14791.1;-23.4656;
15135.6;-23.6647;
15488.2;-23.8639;
15848.9;-24.0631;
16218.1;-24.2623;
16595.9;-24.4616;
16982.4;-24.6609;
17378;-24.8602;
17782.8;-25.0596;
18197;-25.259;
18620.9;-25.4584;
19054.6;-25.6578;
19498.4;-25.8573;
19952.6;-26.0568;
20417.4;-26.2563;
20893;-26.4558;
21379.6;-26.6554;
21877.6;-26.855;
22387.2;-27.0546;
22908.7;-27.2542;
23442.3;-27.4538;
23988.3;-27.6535;
24547.1;-27.8531;
25118.9;-28.0528;
25704;-28.2525;
26302.7;-28.4522;
26915.3;-28.6519;
27542.3;-28.8517;
28183.8;-29.0514;
28840.3;-29.2512;
29512.1;-29.4509;
30199.5;-29.6507;
30903;-29.8505;
31622.8;-30.0503;
32359.4;-30.2501;
33113.1;-30.4499;
33884.4;-30.6497;
34673.7;-30.8496;
35481.3;-31.0494;
36307.8;-31.2493;
37153.5;-31.4491;
38018.9;-31.649;
38904.5;-31.8488;
39810.7;-32.0487;
40738;-32.2486;
41686.9;-32.4485;
42658;-32.6484;
43651.6;-32.8483;
44668.4;-33.0482;
45708.8;-33.2481;
46773.5;-33.448;
47863;-33.6479;
48977.9;-33.8478;
50118.7;-34.0477;
51286.1;-34.2476;
52480.7;-34.4476;
53703.2;-34.6475;
54954.1;-34.8474;
56234.1;-35.0474;
57544;-35.2473;
58884.4;-35.4472;
60256;-35.6472;
61659.5;-35.8471;
63095.7;-36.0471;
64565.4;-36.247;
66069.3;-36.447;
67608.3;-36.6469;
69183.1;-36.8469;
70794.6;-37.0469;
72443.6;-37.2468;
74131;-37.4468;
75857.8;-37.6467;
77624.7;-37.8467;
79432.8;-38.0467;
81283.1;-38.2466;
83176.4;-38.4466;
85113.8;-38.6466;
87096.4;-38.8466;
89125.1;-39.0465;
91201.1;-39.2465;
93325.4;-39.4465;
95499.3;-39.6465;
97723.7;-39.8464;
100000;-40.0464;
